Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/turbulent_channel_data/velocity_
Data matrix X is n by m: 16384 x 1000
POD error with  4  modes: 0.8443759549294912
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 15
Total number of parameters in DESMO: 92575
Epoch [1301/60000], Rec Loss: 0.029363555834, Spatial ortho loss: 0.00080845, L1 loss: 9.0204 
Epoch [1311/60000], Rec Loss: 0.028985597193, Spatial ortho loss: 0.00080949, L1 loss: 9.0042 
Epoch [1321/60000], Rec Loss: 0.028612459078, Spatial ortho loss: 0.00081055, L1 loss: 8.9728 
Epoch [1331/60000], Rec Loss: 0.028245309368, Spatial ortho loss: 0.00081162, L1 loss: 8.9504 
Epoch [1341/60000], Rec Loss: 0.027882354334, Spatial ortho loss: 0.00081270, L1 loss: 8.9257 
Epoch [1351/60000], Rec Loss: 0.027525674552, Spatial ortho loss: 0.00081377, L1 loss: 8.9022 
Epoch [1361/60000], Rec Loss: 0.027173524722, Spatial ortho loss: 0.00081484, L1 loss: 8.8762 
Epoch [1371/60000], Rec Loss: 0.026826679707, Spatial ortho loss: 0.00081592, L1 loss: 8.8519 
Epoch [1381/60000], Rec Loss: 0.026484858245, Spatial ortho loss: 0.00081700, L1 loss: 8.8299 
Epoch [1391/60000], Rec Loss: 0.026148390025, Spatial ortho loss: 0.00081809, L1 loss: 8.8035 
Epoch [1401/60000], Rec Loss: 0.025816209614, Spatial ortho loss: 0.00081918, L1 loss: 8.7838 
Epoch [1411/60000], Rec Loss: 0.025489954278, Spatial ortho loss: 0.00082027, L1 loss: 8.7588 
Epoch [1421/60000], Rec Loss: 0.025167098269, Spatial ortho loss: 0.00082136, L1 loss: 8.7363 
Epoch [1431/60000], Rec Loss: 0.024850858375, Spatial ortho loss: 0.00082245, L1 loss: 8.7101 
Epoch [1441/60000], Rec Loss: 0.024536931887, Spatial ortho loss: 0.00082356, L1 loss: 8.6877 
Epoch [1451/60000], Rec Loss: 0.024231081828, Spatial ortho loss: 0.00082465, L1 loss: 8.6677 
Epoch [1461/60000], Rec Loss: 0.023924717680, Spatial ortho loss: 0.00082576, L1 loss: 8.6408 
Epoch [1471/60000], Rec Loss: 0.023630639538, Spatial ortho loss: 0.00082686, L1 loss: 8.6239 
Epoch [1481/60000], Rec Loss: 0.023328907788, Spatial ortho loss: 0.00082796, L1 loss: 8.6013 
Epoch [1491/60000], Rec Loss: 0.023052077740, Spatial ortho loss: 0.00082906, L1 loss: 8.5780 
Epoch [1501/60000], Rec Loss: 0.022744728252, Spatial ortho loss: 0.00083016, L1 loss: 8.5575 
Epoch [1511/60000], Rec Loss: 0.022506242618, Spatial ortho loss: 0.00083124, L1 loss: 8.5336 
Epoch [1521/60000], Rec Loss: 0.022159943357, Spatial ortho loss: 0.00083235, L1 loss: 8.5137 
Epoch [1531/60000], Rec Loss: 0.022068113089, Spatial ortho loss: 0.00083344, L1 loss: 8.4895 
Epoch [1541/60000], Rec Loss: 0.021634267643, Spatial ortho loss: 0.00083458, L1 loss: 8.4733 
Epoch [1551/60000], Rec Loss: 0.022544879466, Spatial ortho loss: 0.00083570, L1 loss: 8.4505 
Epoch [1561/60000], Rec Loss: 0.022856157273, Spatial ortho loss: 0.00083715, L1 loss: 8.4304 
Epoch [1571/60000], Rec Loss: 0.026322536170, Spatial ortho loss: 0.00083890, L1 loss: 8.4133 
Epoch [1581/60000], Rec Loss: 0.022025220096, Spatial ortho loss: 0.00084120, L1 loss: 8.3789 
Epoch [1591/60000], Rec Loss: 0.021157246083, Spatial ortho loss: 0.00084273, L1 loss: 8.3637 
Epoch [1601/60000], Rec Loss: 0.019677247852, Spatial ortho loss: 0.00084369, L1 loss: 8.3352 
