Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  4  modes: 0.12567867638348762
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 35
Total number of parameters in DESMO: 62950
Epoch [921/100000], Rec Loss: 0.017025107518, Spatial ortho loss: 0.00076888, L1 loss: 10.0298 
Epoch [931/100000], Rec Loss: 0.016621345654, Spatial ortho loss: 0.00076822, L1 loss: 10.0328 
Epoch [941/100000], Rec Loss: 0.016229745001, Spatial ortho loss: 0.00076757, L1 loss: 10.0362 
Epoch [951/100000], Rec Loss: 0.015849784017, Spatial ortho loss: 0.00076692, L1 loss: 10.0332 
Epoch [961/100000], Rec Loss: 0.015480973758, Spatial ortho loss: 0.00076629, L1 loss: 10.0285 
Epoch [971/100000], Rec Loss: 0.015122857876, Spatial ortho loss: 0.00076566, L1 loss: 10.0325 
Epoch [981/100000], Rec Loss: 0.014775016345, Spatial ortho loss: 0.00076505, L1 loss: 10.0327 
Epoch [991/100000], Rec Loss: 0.014437045902, Spatial ortho loss: 0.00076445, L1 loss: 10.0213 
Epoch [1001/100000], Rec Loss: 0.014108558185, Spatial ortho loss: 0.00076388, L1 loss: 10.0314 
Epoch [1011/100000], Rec Loss: 0.013789203018, Spatial ortho loss: 0.00076331, L1 loss: 10.0283 
Epoch [1021/100000], Rec Loss: 0.013478618115, Spatial ortho loss: 0.00076271, L1 loss: 10.0282 
Epoch [1031/100000], Rec Loss: 0.013176503591, Spatial ortho loss: 0.00076214, L1 loss: 10.0301 
Epoch [1041/100000], Rec Loss: 0.012882539071, Spatial ortho loss: 0.00076158, L1 loss: 10.0268 
Epoch [1051/100000], Rec Loss: 0.012596439570, Spatial ortho loss: 0.00076101, L1 loss: 10.0302 
Epoch [1061/100000], Rec Loss: 0.012317939661, Spatial ortho loss: 0.00076047, L1 loss: 10.0255 
Epoch [1071/100000], Rec Loss: 0.012046763673, Spatial ortho loss: 0.00075995, L1 loss: 10.0318 
Epoch [1081/100000], Rec Loss: 0.011782664806, Spatial ortho loss: 0.00075944, L1 loss: 10.0243 
Epoch [1091/100000], Rec Loss: 0.011525400914, Spatial ortho loss: 0.00075898, L1 loss: 10.0324 
Epoch [1101/100000], Rec Loss: 0.011274733581, Spatial ortho loss: 0.00075853, L1 loss: 10.0395 
Epoch [1111/100000], Rec Loss: 0.011030456051, Spatial ortho loss: 0.00075810, L1 loss: 10.0350 
Epoch [1121/100000], Rec Loss: 0.010792351328, Spatial ortho loss: 0.00075764, L1 loss: 10.0402 
Epoch [1131/100000], Rec Loss: 0.010560220107, Spatial ortho loss: 0.00075723, L1 loss: 10.0411 
Epoch [1141/100000], Rec Loss: 0.010333860293, Spatial ortho loss: 0.00075680, L1 loss: 10.0318 
Epoch [1151/100000], Rec Loss: 0.010113097727, Spatial ortho loss: 0.00075637, L1 loss: 10.0392 
Epoch [1161/100000], Rec Loss: 0.009897749871, Spatial ortho loss: 0.00075595, L1 loss: 10.0352 
Epoch [1171/100000], Rec Loss: 0.009687652811, Spatial ortho loss: 0.00075552, L1 loss: 10.0285 
Epoch [1181/100000], Rec Loss: 0.009482648224, Spatial ortho loss: 0.00075510, L1 loss: 10.0334 
Epoch [1191/100000], Rec Loss: 0.009285002947, Spatial ortho loss: 0.00075470, L1 loss: 10.0379 
Epoch [1201/100000], Rec Loss: 0.009585708380, Spatial ortho loss: 0.00075406, L1 loss: 10.0413 
Epoch [1211/100000], Rec Loss: 0.009528308176, Spatial ortho loss: 0.00075309, L1 loss: 10.0371 
Epoch [1221/100000], Rec Loss: 0.010431386530, Spatial ortho loss: 0.00075182, L1 loss: 10.0469 
Epoch [1231/100000], Rec Loss: 0.054308503866, Spatial ortho loss: 0.00075279, L1 loss: 10.0709 
Epoch [1241/100000], Rec Loss: 0.031984705478, Spatial ortho loss: 0.00075616, L1 loss: 10.1058 
Epoch [1251/100000], Rec Loss: 0.050496913493, Spatial ortho loss: 0.00074323, L1 loss: 10.1177 
Epoch [1261/100000], Rec Loss: 0.028439177200, Spatial ortho loss: 0.00070593, L1 loss: 10.1289 
Epoch [1271/100000], Rec Loss: 0.057143401355, Spatial ortho loss: 0.00069868, L1 loss: 10.1276 
Epoch [1281/100000], Rec Loss: 0.054121043533, Spatial ortho loss: 0.00073963, L1 loss: 10.1790 
Epoch [1291/100000], Rec Loss: 0.034779176116, Spatial ortho loss: 0.00075983, L1 loss: 10.2180 
Epoch [1301/100000], Rec Loss: 0.021172888577, Spatial ortho loss: 0.00077568, L1 loss: 10.2506 
Epoch [1311/100000], Rec Loss: 0.017512444407, Spatial ortho loss: 0.00078709, L1 loss: 10.2814 
Epoch [1321/100000], Rec Loss: 0.013051720336, Spatial ortho loss: 0.00079186, L1 loss: 10.2915 
Epoch [1331/100000], Rec Loss: 0.010102285072, Spatial ortho loss: 0.00079073, L1 loss: 10.2900 
Epoch [1341/100000], Rec Loss: 0.009478328750, Spatial ortho loss: 0.00078296, L1 loss: 10.2778 
Epoch [1351/100000], Rec Loss: 0.009113649838, Spatial ortho loss: 0.00077351, L1 loss: 10.2643 
Epoch [1361/100000], Rec Loss: 0.008651921526, Spatial ortho loss: 0.00076556, L1 loss: 10.2512 
Epoch [1371/100000], Rec Loss: 0.008287735283, Spatial ortho loss: 0.00075824, L1 loss: 10.2403 
Epoch [1381/100000], Rec Loss: 0.007979437709, Spatial ortho loss: 0.00075211, L1 loss: 10.2353 
Epoch [1391/100000], Rec Loss: 0.007713605650, Spatial ortho loss: 0.00074681, L1 loss: 10.2204 
Epoch [1401/100000], Rec Loss: 0.007473837584, Spatial ortho loss: 0.00074238, L1 loss: 10.2132 
Epoch [1411/100000], Rec Loss: 0.007255264558, Spatial ortho loss: 0.00073866, L1 loss: 10.2046 
Epoch [1421/100000], Rec Loss: 0.007053430192, Spatial ortho loss: 0.00073570, L1 loss: 10.2002 
Epoch [1431/100000], Rec Loss: 0.006865082309, Spatial ortho loss: 0.00073333, L1 loss: 10.2010 
Epoch [1441/100000], Rec Loss: 0.006687908899, Spatial ortho loss: 0.00073154, L1 loss: 10.1844 
Epoch [1451/100000], Rec Loss: 0.006520130672, Spatial ortho loss: 0.00073016, L1 loss: 10.1823 
Epoch [1461/100000], Rec Loss: 0.006360428873, Spatial ortho loss: 0.00072918, L1 loss: 10.1818 
Epoch [1471/100000], Rec Loss: 0.006207780447, Spatial ortho loss: 0.00072847, L1 loss: 10.1715 
Epoch [1481/100000], Rec Loss: 0.006061404943, Spatial ortho loss: 0.00072802, L1 loss: 10.1667 
Epoch [1491/100000], Rec Loss: 0.005920686759, Spatial ortho loss: 0.00072773, L1 loss: 10.1783 
Epoch [1501/100000], Rec Loss: 0.005785110872, Spatial ortho loss: 0.00072760, L1 loss: 10.1577 
Epoch [1511/100000], Rec Loss: 0.005654270761, Spatial ortho loss: 0.00072756, L1 loss: 10.1633 
Epoch [1521/100000], Rec Loss: 0.005527814385, Spatial ortho loss: 0.00072765, L1 loss: 10.1612 
Epoch [1531/100000], Rec Loss: 0.005405435339, Spatial ortho loss: 0.00072779, L1 loss: 10.1612 
Epoch [1541/100000], Rec Loss: 0.005286860280, Spatial ortho loss: 0.00072800, L1 loss: 10.1514 
Epoch [1551/100000], Rec Loss: 0.005171874072, Spatial ortho loss: 0.00072825, L1 loss: 10.1623 
Epoch [1561/100000], Rec Loss: 0.005060232710, Spatial ortho loss: 0.00072850, L1 loss: 10.1425 
Epoch [1571/100000], Rec Loss: 0.004951774143, Spatial ortho loss: 0.00072880, L1 loss: 10.1412 
Epoch [1581/100000], Rec Loss: 0.004846320022, Spatial ortho loss: 0.00072910, L1 loss: 10.1488 
Epoch [1591/100000], Rec Loss: 0.004743720870, Spatial ortho loss: 0.00072937, L1 loss: 10.1408 
Epoch [1601/100000], Rec Loss: 0.004643849097, Spatial ortho loss: 0.00072965, L1 loss: 10.1400 
Epoch [1611/100000], Rec Loss: 0.004546571057, Spatial ortho loss: 0.00072995, L1 loss: 10.1411 
Epoch [1621/100000], Rec Loss: 0.004451795015, Spatial ortho loss: 0.00073023, L1 loss: 10.1367 
Epoch [1631/100000], Rec Loss: 0.004359402228, Spatial ortho loss: 0.00073050, L1 loss: 10.1363 
Epoch [1641/100000], Rec Loss: 0.004269318655, Spatial ortho loss: 0.00073072, L1 loss: 10.1286 
Epoch [1651/100000], Rec Loss: 0.004181449767, Spatial ortho loss: 0.00073097, L1 loss: 10.1300 
Epoch [1661/100000], Rec Loss: 0.004095716402, Spatial ortho loss: 0.00073121, L1 loss: 10.1294 
Epoch [1671/100000], Rec Loss: 0.004012056161, Spatial ortho loss: 0.00073145, L1 loss: 10.1281 
Epoch [1681/100000], Rec Loss: 0.003930388950, Spatial ortho loss: 0.00073167, L1 loss: 10.1284 
Epoch [1691/100000], Rec Loss: 0.003850661218, Spatial ortho loss: 0.00073192, L1 loss: 10.1202 
Epoch [1701/100000], Rec Loss: 0.003772804979, Spatial ortho loss: 0.00073216, L1 loss: 10.1161 
Epoch [1711/100000], Rec Loss: 0.003696767613, Spatial ortho loss: 0.00073240, L1 loss: 10.1197 
Epoch [1721/100000], Rec Loss: 0.003622495569, Spatial ortho loss: 0.00073260, L1 loss: 10.1092 
Epoch [1731/100000], Rec Loss: 0.003549941583, Spatial ortho loss: 0.00073280, L1 loss: 10.1123 
Epoch [1741/100000], Rec Loss: 0.003479047446, Spatial ortho loss: 0.00073303, L1 loss: 10.1036 
Epoch [1751/100000], Rec Loss: 0.003409776138, Spatial ortho loss: 0.00073325, L1 loss: 10.0982 
Epoch [1761/100000], Rec Loss: 0.003342076205, Spatial ortho loss: 0.00073344, L1 loss: 10.1057 
Epoch [1771/100000], Rec Loss: 0.003275917144, Spatial ortho loss: 0.00073364, L1 loss: 10.0975 
Epoch [1781/100000], Rec Loss: 0.003211245406, Spatial ortho loss: 0.00073382, L1 loss: 10.0793 
Epoch [1791/100000], Rec Loss: 0.003148024203, Spatial ortho loss: 0.00073403, L1 loss: 10.0893 
Epoch [1801/100000], Rec Loss: 0.003086220240, Spatial ortho loss: 0.00073422, L1 loss: 10.0789 
Epoch [1811/100000], Rec Loss: 0.003025800455, Spatial ortho loss: 0.00073442, L1 loss: 10.0777 
Epoch [1821/100000], Rec Loss: 0.002966715489, Spatial ortho loss: 0.00073461, L1 loss: 10.0783 
Epoch [1831/100000], Rec Loss: 0.002908941358, Spatial ortho loss: 0.00073477, L1 loss: 10.0665 
Epoch [1841/100000], Rec Loss: 0.002852451988, Spatial ortho loss: 0.00073494, L1 loss: 10.0578 
Epoch [1851/100000], Rec Loss: 0.002797260182, Spatial ortho loss: 0.00073509, L1 loss: 10.0684 
Epoch [1861/100000], Rec Loss: 0.002832705388, Spatial ortho loss: 0.00073525, L1 loss: 10.0568 
Epoch [1871/100000], Rec Loss: 0.003044615267, Spatial ortho loss: 0.00073492, L1 loss: 10.0585 
Epoch [1881/100000], Rec Loss: 0.003420120804, Spatial ortho loss: 0.00073404, L1 loss: 10.0528 
Epoch [1891/100000], Rec Loss: 0.004057839513, Spatial ortho loss: 0.00073291, L1 loss: 10.0347 
Epoch [1901/100000], Rec Loss: 0.003703294089, Spatial ortho loss: 0.00073155, L1 loss: 10.0347 
Epoch [1911/100000], Rec Loss: 0.002903438639, Spatial ortho loss: 0.00072993, L1 loss: 10.0267 
Epoch [1921/100000], Rec Loss: 0.003699652851, Spatial ortho loss: 0.00072820, L1 loss: 10.0197 
Epoch [1931/100000], Rec Loss: 0.002999398159, Spatial ortho loss: 0.00072601, L1 loss: 10.0188 
Epoch [1941/100000], Rec Loss: 0.024077868089, Spatial ortho loss: 0.00071976, L1 loss: 10.0007 
Epoch [1951/100000], Rec Loss: 0.047758173198, Spatial ortho loss: 0.00069400, L1 loss: 9.9909 
Epoch [1961/100000], Rec Loss: 0.048664942384, Spatial ortho loss: 0.00065604, L1 loss: 9.9433 
Epoch [1971/100000], Rec Loss: 0.032299395651, Spatial ortho loss: 0.00064817, L1 loss: 9.8984 
Epoch [1981/100000], Rec Loss: 0.017931841314, Spatial ortho loss: 0.00064385, L1 loss: 9.8503 
Epoch [1991/100000], Rec Loss: 0.008039834909, Spatial ortho loss: 0.00063616, L1 loss: 9.8221 
Epoch [2001/100000], Rec Loss: 0.007411698345, Spatial ortho loss: 0.00063930, L1 loss: 9.7931 
Model saved at epoch 2001 to ./models/DESMO_Cylinder_r4_epoch2001_20250125_160824.pt
Epoch [2011/100000], Rec Loss: 0.005383672193, Spatial ortho loss: 0.00064184, L1 loss: 9.7552 
Epoch [2021/100000], Rec Loss: 0.004849650897, Spatial ortho loss: 0.00064721, L1 loss: 9.7350 
Epoch [2031/100000], Rec Loss: 0.004302244168, Spatial ortho loss: 0.00065345, L1 loss: 9.7179 
Epoch [2041/100000], Rec Loss: 0.003931669053, Spatial ortho loss: 0.00066110, L1 loss: 9.6944 
Epoch [2051/100000], Rec Loss: 0.003638374852, Spatial ortho loss: 0.00066849, L1 loss: 9.6739 
Epoch [2061/100000], Rec Loss: 0.003385130316, Spatial ortho loss: 0.00067516, L1 loss: 9.6596 
Epoch [2071/100000], Rec Loss: 0.003176722443, Spatial ortho loss: 0.00068112, L1 loss: 9.6504 
Epoch [2081/100000], Rec Loss: 0.002994293813, Spatial ortho loss: 0.00068627, L1 loss: 9.6311 
Epoch [2091/100000], Rec Loss: 0.002833959181, Spatial ortho loss: 0.00069069, L1 loss: 9.6249 
Epoch [2101/100000], Rec Loss: 0.002690891037, Spatial ortho loss: 0.00069453, L1 loss: 9.6032 
Epoch [2111/100000], Rec Loss: 0.002561916364, Spatial ortho loss: 0.00069786, L1 loss: 9.5930 
Epoch [2121/100000], Rec Loss: 0.002444724320, Spatial ortho loss: 0.00070077, L1 loss: 9.5850 
Epoch [2131/100000], Rec Loss: 0.002337518381, Spatial ortho loss: 0.00070336, L1 loss: 9.5794 
Epoch [2141/100000], Rec Loss: 0.002238904592, Spatial ortho loss: 0.00070563, L1 loss: 9.5645 
Epoch [2151/100000], Rec Loss: 0.002147782128, Spatial ortho loss: 0.00070768, L1 loss: 9.5642 
Epoch [2161/100000], Rec Loss: 0.002063262509, Spatial ortho loss: 0.00070950, L1 loss: 9.5461 
Epoch [2171/100000], Rec Loss: 0.001984601142, Spatial ortho loss: 0.00071113, L1 loss: 9.5439 
Epoch [2181/100000], Rec Loss: 0.001911208848, Spatial ortho loss: 0.00071257, L1 loss: 9.5334 
