Reading velocity data and mesh from: /scratch/general/nfs1/u1447794/Phase4/cylinder_data/velocity_
Data matrix X is n by m: 3961 x 1001
POD error with  2  modes: 0.3425140491385109
#################################################################
#################################################################
Running on GPU
Number of terms in polynomial library: 6
Total number of parameters in DESMO: 8204
Epoch [811/90000], Rec Loss: 0.094860903919, Spatial ortho loss: 0.00008994, L1 loss: 7.1285 
Epoch [821/90000], Rec Loss: 0.092551387846, Spatial ortho loss: 0.00008948, L1 loss: 7.0972 
Epoch [831/90000], Rec Loss: 0.090321093798, Spatial ortho loss: 0.00008900, L1 loss: 7.0650 
Epoch [841/90000], Rec Loss: 0.088417515159, Spatial ortho loss: 0.00008854, L1 loss: 7.0319 
Epoch [851/90000], Rec Loss: 0.090230941772, Spatial ortho loss: 0.00008812, L1 loss: 6.9979 
Epoch [861/90000], Rec Loss: 0.093460790813, Spatial ortho loss: 0.00008781, L1 loss: 6.9629 
Epoch [871/90000], Rec Loss: 0.096066884696, Spatial ortho loss: 0.00008755, L1 loss: 6.9273 
Epoch [881/90000], Rec Loss: 0.092649586499, Spatial ortho loss: 0.00008732, L1 loss: 6.8912 
Epoch [891/90000], Rec Loss: 0.093085922301, Spatial ortho loss: 0.00008711, L1 loss: 6.8549 
Epoch [901/90000], Rec Loss: 0.092797301710, Spatial ortho loss: 0.00008691, L1 loss: 6.8184 
Epoch [911/90000], Rec Loss: 0.091313958168, Spatial ortho loss: 0.00008670, L1 loss: 6.7819 
Epoch [921/90000], Rec Loss: 0.089735358953, Spatial ortho loss: 0.00008648, L1 loss: 6.7453 
Epoch [931/90000], Rec Loss: 0.088842146099, Spatial ortho loss: 0.00008625, L1 loss: 6.7087 
Epoch [941/90000], Rec Loss: 0.089012406766, Spatial ortho loss: 0.00008601, L1 loss: 6.6720 
Epoch [951/90000], Rec Loss: 0.089623823762, Spatial ortho loss: 0.00008577, L1 loss: 6.6354 
Epoch [961/90000], Rec Loss: 0.089807353914, Spatial ortho loss: 0.00008549, L1 loss: 6.5988 
Epoch [971/90000], Rec Loss: 0.088740333915, Spatial ortho loss: 0.00008522, L1 loss: 6.5623 
Epoch [981/90000], Rec Loss: 0.085245959461, Spatial ortho loss: 0.00008490, L1 loss: 6.5257 
Epoch [991/90000], Rec Loss: 0.086878582835, Spatial ortho loss: 0.00008458, L1 loss: 6.4893 
Epoch [1001/90000], Rec Loss: 0.076783612370, Spatial ortho loss: 0.00008423, L1 loss: 6.4528 
Epoch [1011/90000], Rec Loss: 0.087906643748, Spatial ortho loss: 0.00008386, L1 loss: 6.4165 
Epoch [1021/90000], Rec Loss: 0.075866550207, Spatial ortho loss: 0.00008347, L1 loss: 6.3803 
Epoch [1031/90000], Rec Loss: 0.087107189000, Spatial ortho loss: 0.00008305, L1 loss: 6.3440 
Epoch [1041/90000], Rec Loss: 0.091528110206, Spatial ortho loss: 0.00008260, L1 loss: 6.3078 
Epoch [1051/90000], Rec Loss: 0.269531607628, Spatial ortho loss: 0.00008232, L1 loss: 6.2715 
Epoch [1061/90000], Rec Loss: 0.238515645266, Spatial ortho loss: 0.00007925, L1 loss: 6.2307 
Epoch [1071/90000], Rec Loss: 0.397019773722, Spatial ortho loss: 0.00007055, L1 loss: 6.1948 
Epoch [1081/90000], Rec Loss: 0.362637758255, Spatial ortho loss: 0.00006169, L1 loss: 6.1695 
Epoch [1091/90000], Rec Loss: 0.546352207661, Spatial ortho loss: 0.00005505, L1 loss: 6.1758 
Epoch [1101/90000], Rec Loss: 0.550563871861, Spatial ortho loss: 0.00002878, L1 loss: 6.1830 
Epoch [1111/90000], Rec Loss: 0.362045496702, Spatial ortho loss: 0.00000032, L1 loss: 6.1563 
Epoch [1121/90000], Rec Loss: 0.445346146822, Spatial ortho loss: 0.00001239, L1 loss: 6.1811 
Epoch [1131/90000], Rec Loss: 0.273570954800, Spatial ortho loss: 0.00000338, L1 loss: 6.2536 
Epoch [1141/90000], Rec Loss: 0.128494024277, Spatial ortho loss: 0.00000768, L1 loss: 6.3184 
Epoch [1151/90000], Rec Loss: 0.110030882061, Spatial ortho loss: 0.00001285, L1 loss: 6.3531 
Epoch [1161/90000], Rec Loss: 0.092525549233, Spatial ortho loss: 0.00001614, L1 loss: 6.3853 
Epoch [1171/90000], Rec Loss: 0.083352014422, Spatial ortho loss: 0.00002069, L1 loss: 6.4210 
Epoch [1181/90000], Rec Loss: 0.077342487872, Spatial ortho loss: 0.00002517, L1 loss: 6.4611 
Epoch [1191/90000], Rec Loss: 0.071239531040, Spatial ortho loss: 0.00002864, L1 loss: 6.5006 
Epoch [1201/90000], Rec Loss: 0.066527470946, Spatial ortho loss: 0.00003146, L1 loss: 6.5370 
Epoch [1211/90000], Rec Loss: 0.062490876764, Spatial ortho loss: 0.00003385, L1 loss: 6.5690 
Epoch [1221/90000], Rec Loss: 0.059061083943, Spatial ortho loss: 0.00003599, L1 loss: 6.5963 
Epoch [1231/90000], Rec Loss: 0.056045532227, Spatial ortho loss: 0.00003803, L1 loss: 6.6190 
Epoch [1241/90000], Rec Loss: 0.053374819458, Spatial ortho loss: 0.00004006, L1 loss: 6.6372 
Epoch [1251/90000], Rec Loss: 0.050967104733, Spatial ortho loss: 0.00004206, L1 loss: 6.6513 
Epoch [1261/90000], Rec Loss: 0.048783034086, Spatial ortho loss: 0.00004402, L1 loss: 6.6615 
Epoch [1271/90000], Rec Loss: 0.046790696681, Spatial ortho loss: 0.00004594, L1 loss: 6.6681 
Epoch [1281/90000], Rec Loss: 0.044964041561, Spatial ortho loss: 0.00004782, L1 loss: 6.6715 
Epoch [1291/90000], Rec Loss: 0.043282262981, Spatial ortho loss: 0.00004965, L1 loss: 6.6717 
Epoch [1301/90000], Rec Loss: 0.041728004813, Spatial ortho loss: 0.00005144, L1 loss: 6.6691 
Epoch [1311/90000], Rec Loss: 0.040286350995, Spatial ortho loss: 0.00005318, L1 loss: 6.6638 
Epoch [1321/90000], Rec Loss: 0.038944508880, Spatial ortho loss: 0.00005489, L1 loss: 6.6561 
Epoch [1331/90000], Rec Loss: 0.037691395730, Spatial ortho loss: 0.00005655, L1 loss: 6.6461 
Epoch [1341/90000], Rec Loss: 0.036517504603, Spatial ortho loss: 0.00005819, L1 loss: 6.6338 
Epoch [1351/90000], Rec Loss: 0.035414688289, Spatial ortho loss: 0.00005978, L1 loss: 6.6196 
Epoch [1361/90000], Rec Loss: 0.034375879914, Spatial ortho loss: 0.00006133, L1 loss: 6.6033 
Epoch [1371/90000], Rec Loss: 0.033395040780, Spatial ortho loss: 0.00006282, L1 loss: 6.5853 
Epoch [1381/90000], Rec Loss: 0.032466959208, Spatial ortho loss: 0.00006430, L1 loss: 6.5655 
Epoch [1391/90000], Rec Loss: 0.031587194651, Spatial ortho loss: 0.00006573, L1 loss: 6.5440 
Epoch [1401/90000], Rec Loss: 0.030755458400, Spatial ortho loss: 0.00006711, L1 loss: 6.5210 
Epoch [1411/90000], Rec Loss: 0.031852073967, Spatial ortho loss: 0.00006845, L1 loss: 6.4965 
Epoch [1421/90000], Rec Loss: 0.031933918595, Spatial ortho loss: 0.00006983, L1 loss: 6.4704 
Epoch [1431/90000], Rec Loss: 0.032493539155, Spatial ortho loss: 0.00007125, L1 loss: 6.4430 
Epoch [1441/90000], Rec Loss: 0.033044923097, Spatial ortho loss: 0.00007267, L1 loss: 6.4142 
Epoch [1451/90000], Rec Loss: 0.033292334527, Spatial ortho loss: 0.00007408, L1 loss: 6.3842 
Epoch [1461/90000], Rec Loss: 0.032950975001, Spatial ortho loss: 0.00007548, L1 loss: 6.3530 
Epoch [1471/90000], Rec Loss: 0.032547421753, Spatial ortho loss: 0.00007686, L1 loss: 6.3207 
Epoch [1481/90000], Rec Loss: 0.032501008362, Spatial ortho loss: 0.00007821, L1 loss: 6.2873 
